cast,station_index,bottom_depth_m,pressure_5m,temperature_5m,chlorophyll_5m,oxygen_5m,pressure_100m,temperature_100m,chlorophyll_100m,oxygen_100m,pressure_1000m,temperature_1000m,chlorophyll_1000m,oxygen_1000m,pressure_bottom,temperature_bottom,chlorophyll_bottom,oxygen_bottom
1,0,50,2.108,14.265,0.9035,5.8764,99.996,10.4886,0.0488,2.8437,,,,,651.993,5.5977,0.0488,0.1319
2,1,3850,2.334,13.2658,1.2943,6.3916,99.983,10.0189,0.0855,4.6575,999.947,4.1497,0.0488,0.5197,3888.632,1.5359,0.0366,3.8862
3,5,4074,8.901,13.1317,0.7692,5.5438,100.013,10.7344,0.0977,4.9406,1000.002,3.9514,0.0366,0.5573,4124.482,1.512,0.0244,4.0491
4,9,3703,2.102,12.8225,1.4774,6.1088,100.001,9.7284,0.0611,4.4853,1000.01,3.9143,0.0488,0.5976,3776.301,1.5309,0.0366,3.7379
5,11,1615,2.397,12.4574,0.5983,6.3071,100.005,9.5853,0.0488,3.4242,999.993,3.8642,0.0366,0.5856,1617.148,2.5974,0.0366,1.5466
6,7,1653,2.128,12.7949,1.2698,5.7929,99.994,9.4121,0.0488,4.0396,1000.017,3.9853,0.0488,0.5278,1666.756,2.207,0.0366,2.0369
7,2,3890,2.129,13.2847,1.2454,6.3054,99.996,10.2894,0.0611,4.2729,1000.033,4.0353,0.0488,0.5756,3934.056,1.512,0.0366,3.978
8,6,4004,4.055,13.4894,1.3797,5.8272,99.993,9.6249,0.0855,4.7153,999.974,3.9743,0.0488,0.519,4059.866,1.5192,0.0366,3.9388
9,10,3815,1.906,12.376,2.3443,6.4448,99.978,9.5772,0.0611,3.5048,1000.019,3.9349,0.0366,0.5633,3865.031,1.5307,0.0366,3.8682
10,12,586,3.43,12.8908,2.5397,5.3841,100.007,9.3209,0.0366,4.0955,,,,,579.225,5.0581,0.0488,0.2693
11,8,520,3.179,13.1653,1.1355,6.8917,100.01,9.5861,0.0488,4.235,,,,,558.465,5.9111,0.0488,0.3435
12,4,1248,11.474,12.8454,1.0134,6.1015,100.022,10.29,0.0977,4.2038,1000.001,3.837,0.0366,0.6395,1232.672,3.442,0.0366,0.8691
13,3,3878,2.678,13.5909,0.696,5.5182,100.01,9.8155,0.0977,4.8995,1000,4.0103,0.0366,0.4857,3918.736,1.5121,0.0366,3.913
